,Year,Month,Options PNL,Nifty Options PNL
0,2019,2019-01,260200.54468707746,-100362.51764518295
1,2019,2019-02,-17047.72975633749,104039.82485949481
2,2019,2019-03,118572.69198669806,-70356.0340841535
3,2019,2019-04,123101.73246400311,-68891.90079059155
4,2019,2019-05,3801.6433344413426,-112709.70041300656
5,2019,2019-06,151783.6838737119,-88074.00221374143
6,2019,2019-07,-188303.06763655934,64748.550175389115
7,2019,2019-08,61021.73532773582,-9001.749888088541
8,2019,2019-09,115415.03708593552,-136723.93579421044
9,2019,2019-10,133578.36351630997,-75553.68906875035
10,2019,2019-11,88550.43481978527,-49112.330468992644
11,2019,2019-12,44875.22284455616,132056.8388004322
12,2020,2020-01,-70998.11665810885,-23502.764254476442
13,2020,2020-02,-185626.12446516217,259930.34304360324
14,2020,2020-03,1603743.1988108014,-992785.680676585
15,2020,2020-04,365126.51840943145,-259883.87163667532
16,2020,2020-05,303973.80580058077,-137942.31960404667
17,2020,2020-06,398778.0637004097,-181353.99165795272
18,2020,2020-07,288668.73208021215,-132359.09736071437
19,2020,2020-08,141525.48847470974,-83040.08651326259
20,2020,2020-09,-300888.953590032,659053.5573816393
21,2020,2020-10,41138.119305208435,-71527.26731958105
22,2020,2020-11,169070.2679957033,-87488.50051777593
23,2020,2020-12,123380.79589258539,-83587.05994291151
24,2021,2021-01,-206076.99272733246,504486.30161037727
25,2021,2021-02,165319.2947230767,-155022.92905960194
26,2021,2021-03,-238126.9557575787,444881.7214516436
27,2021,2021-04,261321.87454431463,-207530.54884363135
28,2021,2021-05,139916.34215183344,-111261.57247478236
29,2021,2021-06,137793.93926204665,-90242.27606134697
30,2021,2021-07,-92053.69478181905,111541.63335850535
31,2021,2021-08,120331.85070638054,-82955.12064716956
32,2021,2021-09,-108310.21953134565,164119.7753022946
33,2021,2021-10,6445.737483765501,179582.24370220795
34,2021,2021-11,77090.93316107063,-52649.0608071059
35,2021,2021-12,154602.57303160965,-126054.28341502672
36,2022,2022-01,30921.030114524045,-115883.63237720932
37,2022,2022-02,-410588.3009911365,806295.8216735971
38,2022,2022-03,112180.24555493199,-134203.9252119382
39,2022,2022-04,150779.48760959174,-145638.33207010754
40,2022,2022-05,-96692.61290513529,-129462.4630736307
41,2022,2022-06,-5508.99471105275,-117998.6167299876
42,2022,2022-07,21536.84117196143,-65820.45577535927
43,2022,2022-08,144582.88823160576,-96311.18251413609
44,2022,2022-09,-7948.544381121416,15411.987329795551
45,2022,2022-10,41225.95099869817,-52732.86947755341
46,2022,2022-11,129349.34539964452,-48406.520943064264
47,2022,2022-12,130062.73750159399,-92571.858381535
48,2023,2023-01,-85491.42818071129,158227.34159190446
49,2023,2023-02,-168004.71589235117,324303.9911233651
50,2023,2023-03,28404.299181146955,-42179.5981325468
51,2023,2023-04,98051.69290443936,-37650.33759031527
52,2023,2023-05,63351.82475732855,-54369.78552395928
53,2023,2023-06,107507.44268484211,-63524.011299435035
54,2023,2023-07,77549.13801845629,-74258.03221272498
55,2023,2023-08,5605.773636097346,-61290.63169317391
56,2023,2023-09,-65142.31608715133,65660.96810346362
57,2023,2023-10,-177413.98557690912,451891.03686128074
58,2023,2023-11,69817.84364416155,-35148.34311226414
59,2023,2023-12,125158.77940711874,-65674.73596578573
60,2024,2024-01,114568.3682495228,-146995.12213496058
61,2024,2024-02,-26120.847228361974,18317.922615670792
62,2024,2024-03,66526.34799059908,-53392.22984180651
63,2024,2024-04,69914.82015355582,-72902.30296735372
64,2024,2024-05,-176707.23107898427,385277.8486380652
65,2024,2024-06,67674.55789944825,-87325.09553761284
