ticker,Option Open Date,Spot Price,Option Strike,Option Initial Price,Option Final Price,Option Close Date,Options PNL,lot_size,Options SL,Re-entry,Reentry Count,Option SL
RELIANCE.EQ-NSE,2019-01-01,1120.05,1168.9,14.165718480648978,42.49715544194694,2019-01-21,-17706.357638416655,624.9720994598456,0,False,0,Intraday SL Hit
RELIANCE.EQ-NSE,2019-02-01,1253.95,1307.6,11.788255239141458,35.364765717424376,2019-02-06,-13161.256297936954,558.2359743211451,0,False,0,Intraday SL Hit
RELIANCE.EQ-NSE,2019-03-01,1225.0,1268.0,16.345059785364207,49.03517935609262,2019-03-11,-18680.068326130524,571.4285714285714,0,False,0,Intraday SL Hit
RELIANCE.EQ-NSE,2019-04-01,1391.95,1446.3,19.96078513182356,0.0495304841980733,2019-04-25,10013.20324245687,502.89162685441283,0,False,0,No SL Hit
RELIANCE.EQ-NSE,2019-05-02,1403.25,1466.1,20.456089973804293,0.0495304841980733,2019-05-30,10179.648418118193,498.84197398895424,0,False,0,No SL Hit
RELIANCE.EQ-NSE,2019-06-03,1363.0,1406.65,14.859145259422004,0.0495304841980733,2019-06-27,7605.818299821534,513.5730007336757,0,False,0,No SL Hit
RELIANCE.EQ-NSE,2019-07-01,1268.5,1307.6,16.44412075376035,0.0495304841980733,2019-07-25,9047.07385785857,551.8328734726055,0,False,0,No SL Hit
RELIANCE.EQ-NSE,2019-08-01,1186.85,1228.35,14.561962354233565,43.685887062700694,2019-08-13,-17177.189447636174,589.7965202005308,0,False,0,Intraday SL Hit
RELIANCE.EQ-NSE,2019-09-03,1200.0,1248.15,16.93942559574109,36.30584491718776,2019-09-26,-11297.077937510561,583.3333333333334,0,False,0,No SL Hit
RELIANCE.EQ-NSE,2019-10-01,1304.5,1367.05,18.97017544786209,56.91052634358627,2019-10-18,-20358.946436954335,536.6040628593331,0,False,0,Intraday SL Hit
